,poi shape,poi type,coordinate
50,Polygon,police,"[19.0961139, 47.5143432]"
51,Polygon,marketplace,"[19.0857172, 47.504476]"
52,Polygon,place_of_worship,"[19.0390599, 47.503843]"
53,Polygon,university,"[19.0679289, 47.507155]"
54,Polygon,school,"[19.0662681, 47.5069039]"
55,Polygon,community_centre,"[19.0703822, 47.5013957]"
56,Polygon,restaurant,"[19.0636623, 47.4967767]"
57,Polygon,school,"[19.0363444, 47.4926273]"
58,Polygon,community_centre,"[19.0566542, 47.5020456]"
59,Polygon,police,"[19.0740443, 47.4755274]"
60,Polygon,public_building,"[19.0532291, 47.5043768]"
61,Polygon,kindergarten,"[19.1435964, 47.5115761]"
62,Polygon,school,"[19.1458847, 47.5055887]"
63,Polygon,place_of_worship,"[18.9260211, 47.397519]"
64,Polygon,childcare,"[19.1382986, 47.5121993]"
65,Polygon,school,"[18.8849256, 47.4127642]"
66,Polygon,place_of_worship,"[18.8852516, 47.4127146]"
67,Polygon,school,"[18.8850566, 47.4131014]"
68,Polygon,parking,"[18.8850566, 47.4131014]"
69,Polygon,parking,"[19.0176397, 47.4630458]"
70,Polygon,library,"[19.3464633, 47.5995018]"
71,Polygon,hospital,"[18.94125, 47.5214972]"
72,Polygon,hospital,"[19.3493369, 47.5994923]"
73,Polygon,police,"[19.3505122, 47.6003643]"
74,Polygon,parking,"[19.156233, 47.4714689]"
75,Polygon,prison,"[19.1757377, 47.4717462]"
76,Polygon,prison,"[19.1772758, 47.4722439]"
77,MultiPolygon,kindergarten,"[19.3523609, 47.6010085]"
78,Polygon,place_of_worship,"[19.3978166, 47.5972956]"
79,Polygon,parking,"[18.9463717, 47.5220263]"
80,Polygon,parking,"[18.9436958, 47.5219784]"
81,Polygon,parking,"[18.94125, 47.5214972]"
82,Polygon,parking,"[18.9442134, 47.5195476]"
83,Polygon,school,"[19.1044288, 47.5596708]"
84,Polygon,parking,"[19.0464561, 47.4490277]"
85,Polygon,marketplace,"[19.0729729, 47.492548]"
86,Polygon,townhall,"[19.0287295, 47.5047577]"
87,Polygon,place_of_worship,"[19.0760306, 47.4789206]"
88,Polygon,townhall,"[19.1288277, 47.6307736]"
89,MultiPolygon,university,"[19.0598223, 47.4722259]"
90,Polygon,marketplace,"[19.1144008, 47.5206244]"
91,Polygon,parking,"[19.3479894, 47.5980887]"
92,Polygon,school,"[19.1231025, 47.4726185]"
93,Polygon,school,"[19.1129668, 47.4679504]"
94,Polygon,kindergarten,"[19.082388, 47.5413708]"
95,Polygon,kindergarten,"[19.0820578, 47.5412113]"
96,MultiPolygon,place_of_worship,"[19.3981197, 47.4256583]"
97,Polygon,fire_station,"[18.8840811, 47.3686966]"
98,Polygon,townhall,"[18.9449967, 47.462082]"
99,Polygon,townhall,"[19.1019774, 47.4368537]"
100,Polygon,parking,"[18.936669, 47.392585]"
101,Polygon,place_of_worship,"[19.022886, 47.5241419]"
102,Polygon,kindergarten,"[18.9054361, 47.3972436]"
103,Polygon,school,"[18.9046751, 47.3967954]"
104,Polygon,parking,"[19.3761517, 47.4468574]"
105,Polygon,parking,"[19.0201975, 47.4156125]"
106,Polygon,parking,"[18.8770268, 47.4192432]"
107,Polygon,school,"[18.876591, 47.4191684]"
108,Polygon,parking,"[19.0181648, 47.5032698]"
109,Polygon,parking,"[18.8822295, 47.4130181]"
110,Polygon,parking,"[18.9036504, 47.4095221]"
111,Polygon,kindergarten,"[18.9054143, 47.3822617]"
112,Polygon,school,"[18.9057587, 47.3823423]"
113,Polygon,parking,"[18.9054797, 47.382136]"
114,Polygon,school,"[19.0291015, 47.4616164]"
115,Polygon,school,"[19.0103817, 47.50911]"
116,Polygon,bicycle_parking,"[19.0582912, 47.4728896]"
117,Polygon,college,"[19.0499449, 47.507217]"
118,Polygon,parking,"[18.9289293, 47.3672351]"
119,Polygon,marketplace,"[18.9318742, 47.3679849]"
120,Polygon,parking,"[18.9285203, 47.3658707]"
121,Polygon,marketplace,"[18.9309427, 47.3653528]"
122,Polygon,parking,"[19.150495, 47.4366412]"
123,Polygon,hospital,"[19.1623652, 47.4797958]"
124,Polygon,parking,"[19.1676062, 47.4780348]"
125,Polygon,market,"[19.1668437, 47.4785891]"
126,Polygon,fire_station,"[19.1330503, 47.462431]"
127,Polygon,hospital,"[19.0021885, 47.5111476]"
128,Polygon,kindergarten,"[19.0021885, 47.5111476]"
129,Polygon,parking,"[19.0375398, 47.5307883]"
130,Polygon,monastery,"[19.0433043, 47.4799473]"
131,Polygon,kindergarten,"[19.2571201, 47.5392366]"
132,Polygon,hospital,"[19.2551045, 47.5380857]"
133,Polygon,hospital,"[19.0308555, 47.5384338]"
134,Polygon,prison,"[19.0376063, 47.5096772]"
135,MultiPolygon,school,"[19.2758722, 47.4817707]"
136,Polygon,kindergarten,"[19.0631246, 47.5275314]"
137,Polygon,kindergarten,"[19.0308272, 47.4689377]"
138,MultiPolygon,parking,"[19.3507636, 47.5989782]"
139,Polygon,parking,"[18.9215956, 47.3792048]"
140,Polygon,parking,"[18.9215956, 47.3792048]"
141,Polygon,school,"[19.1628387, 47.5222468]"
142,Polygon,hospital,"[19.0821415, 47.6258818]"
143,Polygon,construction,"[19.112352, 47.485487]"
144,Polygon,theatre,"[19.3496311, 47.5979961]"
145,Polygon,hospital,"[19.0674632, 47.4870758]"
146,Polygon,parking,"[19.2339326, 47.5289074]"
147,Polygon,school,"[19.0297303, 47.6420569]"
148,Polygon,parking,"[19.0154553, 47.4053649]"
149,Polygon,parking,"[19.0406338, 47.426945]"
150,Polygon,parking,"[19.0385992, 47.4283107]"
151,Polygon,parking,"[18.9462947, 47.4043566]"
152,Polygon,parking,"[18.9243553, 47.3795262]"
153,Polygon,parking,"[18.892341, 47.4591166]"
154,Polygon,parking,"[18.9003524, 47.4575515]"
155,Polygon,parking,"[18.9344972, 47.378544]"
156,Polygon,theatre,"[19.0581621, 47.50331]"
157,Polygon,parking,"[19.046562, 47.5005909]"
158,Polygon,public_building,"[19.0486666, 47.5043036]"
159,Polygon,bank,"[19.0514846, 47.5038507]"
160,Polygon,doctors,"[19.0527413, 47.5020089]"
161,Polygon,community_centre,"[19.0488352, 47.500163]"
162,Polygon,bank,"[19.053959, 47.5051136]"
163,Polygon,theatre,"[19.0514213, 47.512935]"
164,Polygon,parking,"[19.0486407, 47.5113291]"
165,Polygon,school,"[19.0527987, 47.5098234]"
166,Polygon,prison,"[19.0525581, 47.5090036]"
167,Polygon,courthouse,"[19.0512198, 47.5091453]"
168,Polygon,public_building,"[19.0499325, 47.509415]"
169,Polygon,public_building,"[19.050538, 47.5092408]"
170,Polygon,public_building,"[19.0497356, 47.5080885]"
171,Polygon,public_building,"[19.0493137, 47.506865]"
172,Polygon,public_building,"[19.049226, 47.5068569]"
173,Polygon,embassy,"[19.0513558, 47.5045398]"
174,Polygon,marketplace,"[19.0525712, 47.5049907]"
175,Polygon,parking,"[19.0279296, 47.5455468]"
176,Polygon,parking,"[19.0281652, 47.5475761]"
177,Polygon,parking,"[19.0400616, 47.5422231]"
178,Polygon,marketplace,"[19.0376083, 47.5440873]"
179,Polygon,townhall,"[19.0547049, 47.4967095]"
180,Polygon,parking,"[19.0559715, 47.4965535]"
181,Polygon,townhall,"[19.0559059, 47.4946139]"
182,Polygon,place_of_worship,"[19.0525244, 47.4924192]"
183,Polygon,place_of_worship,"[19.0544309, 47.4971511]"
184,Polygon,marketplace,"[19.0579587, 47.4870476]"
185,Polygon,place_of_worship,"[19.0567747, 47.4931704]"
186,Polygon,library,"[19.0573047, 47.4927233]"
187,Polygon,public_building,"[19.0527922, 47.5040342]"
188,Polygon,public_building,"[19.0528586, 47.5037261]"
189,Polygon,public_building,"[19.0464215, 47.5034524]"
190,Polygon,public_building,"[19.0468055, 47.5037952]"
191,Polygon,public_building,"[19.0475685, 47.5038947]"
192,Polygon,public_building,"[19.0519074, 47.5019301]"
193,Polygon,parking,"[18.9175983, 47.5009676]"
194,Polygon,place_of_worship,"[19.0578284, 47.4909121]"
195,Polygon,parking,"[19.0229849, 47.4629584]"
196,Polygon,parking,"[18.9921422, 47.4727296]"
197,Polygon,parking,"[19.0489029, 47.5586847]"
198,Polygon,public_building,"[19.0503797, 47.5079308]"
199,Polygon,place_of_worship,"[19.0533264, 47.4952921]"
200,Polygon,university,"[19.0572617, 47.4865812]"
201,Polygon,university,"[19.0569416, 47.4902034]"
202,Polygon,school,"[19.0570521, 47.4943387]"
203,Polygon,place_of_worship,"[19.0541453, 47.4903577]"
204,Polygon,parking,"[19.0520846, 47.4906258]"
205,Polygon,parking,"[19.0564406, 47.5107928]"
206,Polygon,place_of_worship,"[19.060286, 47.5167152]"
207,Polygon,place_of_worship,"[19.0623679, 47.5021366]"
208,Polygon,place_of_worship,"[19.0826142, 47.5156178]"
209,Polygon,theatre,"[19.0808754, 47.5193123]"
210,Polygon,restaurant,"[19.0767228, 47.5174016]"
211,Polygon,restaurant,"[19.0761429, 47.5170783]"
212,Polygon,bus_station,"[19.1069925, 47.5021643]"
213,Polygon,parking,"[19.0841854, 47.5010378]"
214,Polygon,hospital,"[19.0781538, 47.5013619]"
215,Polygon,place_of_worship,"[19.0759866, 47.5012414]"
216,Polygon,university,"[19.0696078, 47.5134003]"
217,Polygon,public_building,"[19.0536243, 47.5084788]"
218,Polygon,public_building,"[19.0524921, 47.5055482]"
219,Polygon,public_building,"[19.0529492, 47.5055562]"
220,Polygon,public_building,"[19.0531048, 47.5047105]"
221,Polygon,restaurant,"[19.0467754, 47.4971284]"
222,Polygon,restaurant,"[19.047302, 47.4960484]"
223,Polygon,hospital,"[19.0733221, 47.517433]"
224,Polygon,doctors,"[19.0707372, 47.5160719]"
225,Polygon,embassy,"[19.0721228, 47.5115715]"
226,Polygon,school,"[19.0728654, 47.5081608]"
227,Polygon,school,"[19.0731295, 47.5083614]"
228,Polygon,theatre,"[19.0725649, 47.5034546]"
229,Polygon,place_of_worship,"[19.0758572, 47.50872]"
230,Polygon,school,"[19.0763981, 47.5085894]"
231,Polygon,parking,"[19.1048913, 47.5008819]"
232,Polygon,public_building,"[19.0298106, 47.5047368]"
233,Polygon,pharmacy,"[18.993784, 47.4736869]"
234,Polygon,place_of_worship,"[19.1316606, 47.4872424]"
235,Polygon,fast_food,"[19.0320143, 47.4641859]"
236,Polygon,bank,"[19.0305816, 47.4643108]"
237,Polygon,parking,"[19.043968, 47.4920166]"
238,Polygon,place_of_worship,"[19.0436464, 47.4923312]"
239,Polygon,cinema,"[19.0710255, 47.4863334]"
240,Polygon,parking,"[19.0758794, 47.497693]"
241,Polygon,theatre,"[19.0764064, 47.4971002]"
242,Polygon,parking,"[19.049725, 47.5611018]"
243,Polygon,parking,"[19.0503016, 47.5611251]"
244,Polygon,parking,"[19.00422, 47.4671059]"
245,Polygon,swimming_pool,"[19.1189273, 47.5408471]"
246,Polygon,parking,"[18.9538574, 47.5277205]"
247,Polygon,marketplace,"[19.1447482, 47.4592325]"
248,Polygon,hospital,"[19.1008441, 47.4681746]"
249,Polygon,school,"[19.1459978, 47.46045]"
250,Polygon,school,"[19.1460356, 47.4597478]"
251,Polygon,school,"[19.143792, 47.460769]"
252,Polygon,police,"[19.1366368, 47.4563484]"
253,Polygon,prison,"[19.1742202, 47.4705241]"
254,Polygon,parking,"[19.0220974, 47.5628728]"
255,Polygon,community_centre,"[19.0313376, 47.464343]"
256,Polygon,parking,"[19.0318074, 47.4640302]"
257,Polygon,public_building,"[19.0308889, 47.4649245]"
258,Polygon,parking,"[19.0301747, 47.4641966]"
259,Polygon,parking,"[19.0290416, 47.4655034]"
260,Polygon,parking,"[18.9666329, 47.5381622]"
261,Polygon,parking,"[19.2636696, 47.4315669]"
262,Polygon,parking,"[18.9553085, 47.5403766]"
263,Polygon,school,"[18.9489392, 47.5655293]"
264,Polygon,school,"[18.9582307, 47.5602926]"
265,Polygon,community_centre,"[19.0000873, 47.4680956]"
266,Polygon,school,"[19.0011495, 47.4703313]"
267,Polygon,kindergarten,"[19.0003238, 47.46889]"
268,Polygon,kindergarten,"[19.001083, 47.4685698]"
269,Polygon,parking,"[19.0170162, 47.4676941]"
270,Polygon,kindergarten,"[19.0173868, 47.4717923]"
271,Polygon,university,"[19.0198225, 47.4709868]"
272,Polygon,parking,"[19.0059859, 47.4644639]"
273,Polygon,parking,"[19.0208098, 47.4722738]"
274,Polygon,parking,"[19.0206901, 47.4717109]"
275,Polygon,school,"[19.0019669, 47.4706169]"
276,Polygon,college,"[19.0021004, 47.4705108]"
277,Polygon,school,"[19.0067199, 47.4691568]"
278,Polygon,retirement_home,"[18.9473878, 47.5604073]"
279,Polygon,kindergarten,"[18.9536331, 47.5498993]"
280,Polygon,school,"[18.9600686, 47.5531638]"
281,Polygon,parking,"[18.9388534, 47.5470014]"
282,Polygon,school,"[18.933195, 47.5515334]"
283,Polygon,retirement_home,"[18.9447189, 47.5600394]"
284,Polygon,school,"[18.9538581, 47.5477438]"
285,Polygon,hospital,"[18.9644624, 47.5467524]"
286,Polygon,parking,"[18.9639298, 47.5427622]"
287,Polygon,university,"[19.0207011, 47.4739405]"
288,Polygon,kindergarten,"[19.0175287, 47.47241]"
289,Polygon,parking,"[19.0406789, 47.4766751]"
290,Polygon,pub,"[19.0398392, 47.4772518]"
291,Polygon,parking,"[19.0628389, 47.473956]"
292,Polygon,place_of_worship,"[19.0586924, 47.4749856]"
293,Polygon,marketplace,"[19.0469115, 47.4749396]"
294,Polygon,school,"[19.0472625, 47.4759985]"
295,Polygon,clinic,"[19.0471693, 47.4751414]"
296,Polygon,school,"[19.05491, 47.4761962]"
297,Polygon,clinic,"[19.0304954, 47.4797502]"
298,Polygon,police,"[19.028847, 47.4781353]"
299,Polygon,kindergarten,"[19.0296516, 47.4765457]"
300,Polygon,place_of_worship,"[19.0226585, 47.4689075]"
301,Polygon,place_of_worship,"[19.0441199, 47.4709499]"
302,Polygon,parking,"[19.045257, 47.4706246]"
303,Polygon,university,"[19.0793384, 47.4874588]"
304,Polygon,school,"[19.0812829, 47.4879453]"
305,Polygon,restaurant,"[19.0599549, 47.4612696]"
306,Polygon,cafe,"[19.0600994, 47.4615801]"
307,Polygon,childcare,"[19.0608674, 47.4625588]"
308,Polygon,cafe,"[19.0619873, 47.4639075]"
309,Polygon,restaurant,"[19.0626103, 47.4647258]"
310,Polygon,parking,"[19.0616276, 47.4671237]"
311,Polygon,parking,"[19.015327, 47.4608513]"
312,Polygon,kindergarten,"[18.9960005, 47.4713438]"
313,Polygon,school,"[19.034449, 47.4541906]"
314,Polygon,school,"[19.034469, 47.4549713]"
315,Polygon,school,"[19.0334413, 47.4528277]"
316,Polygon,school,"[19.0350032, 47.4624826]"
317,Polygon,kindergarten,"[19.0350032, 47.4624826]"
318,Polygon,school,"[19.0363614, 47.4616977]"
319,Polygon,school,"[19.0345614, 47.4497093]"
320,Polygon,school,"[19.0352464, 47.4494762]"
321,Polygon,place_of_worship,"[19.0352933, 47.4480623]"
322,Polygon,place_of_worship,"[18.9955741, 47.4690604]"
323,Polygon,parking,"[18.9988877, 47.4677234]"
324,Polygon,parking,"[18.9979743, 47.4681197]"
325,Polygon,parking,"[18.9962706, 47.4691346]"
326,Polygon,parking,"[18.9934284, 47.4740005]"
327,Polygon,school,"[19.0033027, 47.4802638]"
328,Polygon,kindergarten,"[19.0036918, 47.4809966]"
329,Polygon,school,"[18.9272857, 47.5139706]"
330,Polygon,place_of_worship,"[18.9286614, 47.5098625]"
331,Polygon,parking,"[19.0694563, 47.4965355]"
332,Polygon,arts_centre,"[19.0704973, 47.4691804]"
333,Polygon,fast_food,"[19.0919676, 47.5172733]"
334,Polygon,fuel,"[19.0916581, 47.5175533]"
335,Polygon,parking,"[19.0380076, 47.4313387]"
336,Polygon,townhall,"[19.0408886, 47.4264313]"
337,Polygon,parking,"[19.0369266, 47.5221215]"
338,Polygon,hospital,"[19.0381383, 47.5162084]"
339,Polygon,hospital,"[19.0364882, 47.5192245]"
340,Polygon,place_of_worship,"[19.0307859, 47.5045866]"
341,Polygon,place_of_worship,"[19.0340171, 47.5017883]"
342,Polygon,parking,"[19.0008993, 47.4466332]"
343,Polygon,parking,"[18.9995631, 47.4461222]"
344,Polygon,parking,"[19.0860393, 47.4806296]"
345,Polygon,marketplace,"[19.1392448, 47.5450043]"
346,Polygon,marketplace,"[19.2133893, 47.3884767]"
347,Polygon,marketplace,"[19.2150893, 47.3723751]"
348,Polygon,parking,"[19.2069133, 47.388374]"
349,Polygon,pharmacy,"[19.0339551, 47.544559]"
350,Polygon,parking,"[19.0377294, 47.5424232]"
351,Polygon,fast_food,"[19.0361592, 47.5433942]"
352,Polygon,parking,"[19.0381016, 47.5398194]"
353,Polygon,school,"[19.2159469, 47.3885781]"
354,Polygon,kindergarten,"[19.214093, 47.3893335]"
355,Polygon,post_office,"[19.2116468, 47.3847834]"
356,Polygon,arts_centre,"[19.2152412, 47.3813712]"
357,Polygon,school,"[19.2049909, 47.3766035]"
358,Polygon,parking,"[18.9238225, 47.5990723]"
359,Polygon,school,"[19.2272662, 47.3875931]"
360,Polygon,school,"[19.2050405, 47.3797225]"
361,Polygon,place_of_worship,"[19.0955292, 47.5545299]"
362,Polygon,fuel,"[19.2069459, 47.4167305]"
363,Polygon,school,"[19.2160915, 47.4207741]"
364,Polygon,townhall,"[19.2145387, 47.3823535]"
365,Polygon,doctors,"[19.2143929, 47.3826078]"
366,Polygon,parking,"[18.9345489, 47.4569751]"
367,Polygon,parking,"[19.2009715, 47.4332335]"
368,Polygon,hospital,"[19.0260048, 47.4614914]"
369,Polygon,parking,"[18.9984308, 47.4716735]"
370,Polygon,parking,"[18.9989183, 47.4714239]"
371,Polygon,school,"[19.0375626, 47.5020793]"
372,Polygon,parking,"[19.0589582, 47.5324171]"
373,Polygon,parking,"[19.0579158, 47.5301148]"
374,Polygon,parking,"[19.0584439, 47.5312566]"
375,Polygon,parking,"[19.0593958, 47.5333281]"
376,Polygon,social_facility,"[19.1332455, 47.5501087]"
377,Polygon,fuel,"[19.1363149, 47.5507756]"
378,Polygon,fuel,"[19.1387418, 47.5501748]"
379,Polygon,kindergarten,"[19.0555683, 47.4737668]"
380,Polygon,post_office,"[19.0537942, 47.4736562]"
381,Polygon,school,"[19.0671224, 47.6009388]"
382,Polygon,school,"[19.0631565, 47.6006628]"
383,Polygon,place_of_worship,"[19.0679315, 47.6027733]"
384,Polygon,school,"[19.0618842, 47.598843]"
385,Polygon,kindergarten,"[19.0650028, 47.6011843]"
386,Polygon,marketplace,"[19.0566854, 47.5978416]"
387,Polygon,school,"[19.0636719, 47.5988934]"
388,Polygon,social_facility,"[19.0648166, 47.5988896]"
389,Polygon,kindergarten,"[19.0631853, 47.598553]"
390,Polygon,marketplace,"[19.0630842, 47.5947582]"
391,Polygon,parking,"[19.0602733, 47.6022353]"
392,Polygon,kindergarten,"[19.0576603, 47.5959277]"
393,Polygon,parking,"[19.0560992, 47.5977435]"
394,Polygon,school,"[19.0570625, 47.5964223]"
395,Polygon,school,"[19.0571628, 47.5961924]"
396,Polygon,fast_food,"[19.0635472, 47.6134603]"
397,Polygon,theatre,"[19.0505023, 47.5301038]"
398,Polygon,place_of_worship,"[19.0514545, 47.5308799]"
399,Polygon,school,"[19.1554381, 47.4548295]"
400,Polygon,parking,"[18.963881, 47.4518301]"
401,Polygon,parking,"[18.9587098, 47.4530907]"
402,Polygon,parking,"[18.9546925, 47.4532068]"
403,Polygon,parking,"[18.9580422, 47.4526302]"
404,Polygon,parking,"[19.0128011, 47.4042902]"
405,Polygon,marketplace,"[19.024213, 47.5087985]"
406,Polygon,marketplace,"[19.0372199, 47.5063007]"
407,Polygon,parking,"[18.8863968, 47.442306]"
408,Polygon,parking,"[18.8866759, 47.4437906]"
409,Polygon,parking,"[18.8870621, 47.4426611]"
410,Polygon,school,"[18.9608011, 47.5616806]"
411,Polygon,parking,"[19.0194285, 47.457972]"
412,Polygon,parking,"[19.0192892, 47.4573361]"
413,Polygon,school,"[19.0447739, 47.4788327]"
414,Polygon,college,"[19.0426674, 47.4785712]"
415,Polygon,place_of_worship,"[19.0420041, 47.4787122]"
416,Polygon,place_of_worship,"[19.137163, 47.5419031]"
417,Polygon,kindergarten,"[18.9915787, 47.3955552]"
418,Polygon,bus_station,"[19.027741, 47.5083191]"
419,Polygon,parking,"[19.0661864, 47.4833098]"
420,Polygon,place_of_worship,"[19.0668059, 47.4833626]"
421,Polygon,school,"[19.0662908, 47.4851861]"
422,Polygon,school,"[19.0670775, 47.484345]"
423,Polygon,school,"[19.0407924, 47.479923]"
424,Polygon,fast_food,"[19.146503, 47.5658903]"
425,Polygon,school,"[19.1149139, 47.5567522]"
426,Polygon,nightclub,"[19.0627245, 47.4768705]"
427,Polygon,school,"[18.9476742, 47.4569723]"
428,Polygon,police,"[18.9432736, 47.4612371]"
429,Polygon,school,"[18.9414259, 47.4579481]"
430,Polygon,kindergarten,"[18.9451514, 47.4598348]"
431,Polygon,kindergarten,"[18.9606406, 47.4617493]"
432,Polygon,kindergarten,"[18.9472911, 47.4617077]"
433,Polygon,school,"[18.9627202, 47.4620327]"
434,Polygon,parking,"[18.9435539, 47.4568338]"
435,Polygon,fire_station,"[18.9389735, 47.4421936]"
436,Polygon,school,"[18.9700699, 47.4643386]"
437,Polygon,place_of_worship,"[18.9625502, 47.4618906]"
438,Polygon,kindergarten,"[18.9404903, 47.4592779]"
439,Polygon,parking,"[18.9445708, 47.4624177]"
440,Polygon,parking,"[18.9474641, 47.4587881]"
441,Polygon,school,"[18.9699007, 47.4571425]"
442,Polygon,school,"[18.9769019, 47.4579405]"
443,Polygon,school,"[18.9385767, 47.4612269]"
444,Polygon,courthouse,"[18.938389, 47.4618386]"
445,Polygon,community_centre,"[18.9597631, 47.4615292]"
446,Polygon,parking,"[18.9391483, 47.4595901]"
447,Polygon,kindergarten,"[18.9705336, 47.4649232]"
448,Polygon,parking,"[18.9215832, 47.5070243]"
449,Polygon,parking,"[19.0414112, 47.4977108]"
450,Polygon,bus_station,"[19.1354163, 47.5021084]"
451,Polygon,fountain,"[19.3941673, 47.4227929]"
452,Polygon,parking,"[19.3859383, 47.4264005]"
453,Polygon,kindergarten,"[19.1251276, 47.5432143]"
454,Polygon,place_of_worship,"[18.964471, 47.6406762]"
455,Polygon,grave_yard,"[18.9607296, 47.6393942]"
456,Polygon,public_building,"[19.1392824, 47.5051212]"
457,Polygon,shelter,"[19.1304769, 47.5039151]"
458,Polygon,parking,"[19.1575712, 47.5795526]"
459,Polygon,parking,"[19.2222947, 47.4387849]"
460,Polygon,theatre,"[19.0469998, 47.472778]"
461,Polygon,parking,"[19.0776103, 47.5566368]"
462,Polygon,hospital,"[19.098039, 47.5189703]"
463,Polygon,parking,"[19.1605903, 47.5779586]"
464,Polygon,hospital,"[19.0925559, 47.4799356]"
465,Polygon,hospital,"[19.089022, 47.4787443]"
466,Polygon,parking,"[18.9366935, 47.4276004]"
467,Polygon,university,"[19.067476, 47.484909]"
468,Polygon,university,"[19.0780761, 47.4909475]"
469,Polygon,university,"[19.0776171, 47.4912741]"
470,Polygon,parking,"[18.9042463, 47.4532387]"
471,Polygon,post_office,"[18.9146721, 47.4347932]"
472,Polygon,doctors,"[18.9134483, 47.4358433]"
473,Polygon,school,"[19.0629182, 47.5026656]"
474,Polygon,kindergarten,"[18.9147889, 47.4416168]"
475,Polygon,parking,"[18.9148936, 47.4417025]"
476,Polygon,parking,"[19.0425958, 47.4871237]"
477,Polygon,parking,"[18.8881996, 47.465833]"
478,Polygon,parking,"[18.8859085, 47.4672746]"
479,Polygon,parking,"[18.895351, 47.4595813]"
480,Polygon,parking,"[18.8854966, 47.4666601]"
481,Polygon,parking,"[18.8892599, 47.4657889]"
482,Polygon,parking,"[18.9697865, 47.4530492]"
483,Polygon,parking,"[18.8893188, 47.4639244]"
484,Polygon,parking,"[18.9604364, 47.4514065]"
485,Polygon,parking,"[18.9016006, 47.4676451]"
486,Polygon,parking,"[18.9463249, 47.4529088]"
487,Polygon,parking,"[18.9019749, 47.4562954]"
488,Polygon,parking,"[18.9370124, 47.4534023]"
489,Polygon,parking,"[18.9490305, 47.4553594]"
490,Polygon,university,"[19.0596711, 47.4849429]"
491,Polygon,school,"[19.2014986, 47.5112481]"
492,Polygon,college,"[19.2043695, 47.508128]"
493,Polygon,parking,"[19.2274817, 47.4834789]"
494,Polygon,parking,"[19.1502724, 47.5411627]"
495,Polygon,parking,"[19.151903, 47.540254]"
496,Polygon,b,"[19.1420422, 47.5519727]"
497,Polygon,parking,"[19.1383915, 47.551733]"
498,Polygon,parking,"[19.0504413, 47.3449926]"
499,Polygon,parking,"[19.0185873, 47.3371491]"
500,Polygon,parking,"[19.3519949, 47.4436364]"
501,Polygon,parking,"[19.3505577, 47.4433227]"
502,Polygon,parking,"[19.3498565, 47.4437824]"
503,Polygon,parking,"[19.3691036, 47.447609]"
504,Polygon,parking,"[19.3633388, 47.4478786]"
505,Polygon,parking,"[19.3614068, 47.4484599]"
